Anomalous (Outlier) Node Information
--------------------------------------------------------------------------------
Original Index  True Label                Predicted Label          
--------------------------------------------------------------------------------
919821          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1759993         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
154830          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2737726         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1201640         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3265399         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
591723          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1286312         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2343001         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2839459         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1031528         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2742111         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2964996         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3192919         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
361428          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
185996          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3074027         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2181337         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3007507         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
360407          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3148569         NetFlowObject             MemoryObject             
3188889         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
836247          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
2610431         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2563589         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3118787         NetFlowObject             MemoryObject             
2896137         FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
1039830         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2459240         FILE_OBJECT_FILE          FILE_OBJECT_DIR          
1871665         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3114821         NetFlowObject             MemoryObject             
2127125         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
163327          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3110101         NetFlowObject             MemoryObject             
3126950         NetFlowObject             MemoryObject             
2011695         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2564233         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
59705           SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
532245          SUBJECT_PROCESS           FILE_OBJECT_DIR          
3123004         NetFlowObject             MemoryObject             
3149334         NetFlowObject             MemoryObject             
859121          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3135563         NetFlowObject             MemoryObject             
3136484         NetFlowObject             MemoryObject             
2578528         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
529855          FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
1830146         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2347284         FILE_OBJECT_FILE          FILE_OBJECT_DIR          
3154713         NetFlowObject             MemoryObject             
3118111         NetFlowObject             MemoryObject             
836012          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
631082          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2562884         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3143598         NetFlowObject             MemoryObject             
845453          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3160276         NetFlowObject             MemoryObject             
3135589         NetFlowObject             MemoryObject             
3097738         NetFlowObject             MemoryObject             
3114690         NetFlowObject             MemoryObject             
3150834         NetFlowObject             MemoryObject             
2011306         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3113958         NetFlowObject             MemoryObject             
3096956         NetFlowObject             MemoryObject             
3126604         NetFlowObject             MemoryObject             
3147066         NetFlowObject             MemoryObject             
854813          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3095690         NetFlowObject             MemoryObject             
2177175         NetFlowObject             NetFlowObject            
926354          MemoryObject              MemoryObject             
3212248         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3150621         NetFlowObject             MemoryObject             
518910          FILE_OBJECT_FILE          NetFlowObject            
3137398         NetFlowObject             MemoryObject             
