Misclassified Node Information
--------------------------------------------------
Node Index      True Label                Predicted Label          
--------------------------------------------------
6               FILE_OBJECT_UNIX_SOCKET   NetFlowObject            
15              FILE_OBJECT_UNIX_SOCKET   MemoryObject             
178             FILE_OBJECT_UNIX_SOCKET   SRCSINK_UNKNOWN          
184             SUBJECT_PROCESS           SRCSINK_UNKNOWN          
186             FILE_OBJECT_UNIX_SOCKET   SRCSINK_UNKNOWN          
993             FILE_OBJECT_UNIX_SOCKET   MemoryObject             
2307            SUBJECT_PROCESS           SRCSINK_UNKNOWN          
2309            SUBJECT_PROCESS           SRCSINK_UNKNOWN          
2310            FILE_OBJECT_FILE          NetFlowObject            
2312            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2314            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2315            FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2379            FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2458            FILE_OBJECT_CHAR          UnnamedPipeObject        
2459            FILE_OBJECT_DIR           FILE_OBJECT_FILE         
2462            FILE_OBJECT_CHAR          FILE_OBJECT_FILE         
2464            NetFlowObject             FILE_OBJECT_FILE         
2465            NetFlowObject             FILE_OBJECT_FILE         
2466            NetFlowObject             FILE_OBJECT_FILE         
2496            SRCSINK_UNKNOWN           MemoryObject             
2497            SUBJECT_PROCESS           MemoryObject             
2500            SRCSINK_UNKNOWN           MemoryObject             
2501            SRCSINK_UNKNOWN           MemoryObject             
2502            FILE_OBJECT_FILE          NetFlowObject            
2504            FILE_OBJECT_FILE          NetFlowObject            
2515            NetFlowObject             FILE_OBJECT_FILE         
2516            NetFlowObject             FILE_OBJECT_FILE         
2517            NetFlowObject             FILE_OBJECT_FILE         
2627            FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2648            FILE_OBJECT_UNIX_SOCKET   MemoryObject             
2649            SRCSINK_UNKNOWN           MemoryObject             
2656            SRCSINK_UNKNOWN           MemoryObject             
2658            SRCSINK_UNKNOWN           MemoryObject             
2659            SRCSINK_UNKNOWN           MemoryObject             
2660            SRCSINK_UNKNOWN           MemoryObject             
2661            SRCSINK_UNKNOWN           MemoryObject             
2662            SRCSINK_UNKNOWN           MemoryObject             
2677            SRCSINK_UNKNOWN           MemoryObject             
2823            SUBJECT_PROCESS           MemoryObject             
2825            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2826            MemoryObject              FILE_OBJECT_DIR          
2827            MemoryObject              FILE_OBJECT_DIR          
2828            MemoryObject              FILE_OBJECT_DIR          
2829            MemoryObject              FILE_OBJECT_DIR          
2830            MemoryObject              FILE_OBJECT_DIR          
2831            MemoryObject              FILE_OBJECT_DIR          
2832            MemoryObject              FILE_OBJECT_DIR          
2833            MemoryObject              FILE_OBJECT_DIR          
2834            MemoryObject              FILE_OBJECT_DIR          
2835            MemoryObject              FILE_OBJECT_DIR          
2836            FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2837            SUBJECT_PROCESS           FILE_OBJECT_DIR          
2839            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2851            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2852            MemoryObject              FILE_OBJECT_DIR          
2853            MemoryObject              FILE_OBJECT_DIR          
2854            MemoryObject              FILE_OBJECT_DIR          
2855            MemoryObject              FILE_OBJECT_DIR          
2856            MemoryObject              FILE_OBJECT_DIR          
2857            MemoryObject              FILE_OBJECT_DIR          
2858            MemoryObject              FILE_OBJECT_DIR          
2859            MemoryObject              FILE_OBJECT_DIR          
2860            MemoryObject              FILE_OBJECT_DIR          
2861            MemoryObject              FILE_OBJECT_DIR          
2863            SUBJECT_PROCESS           FILE_OBJECT_DIR          
2865            FILE_OBJECT_FILE          SUBJECT_PROCESS          
2877            SUBJECT_PROCESS           MemoryObject             
2880            FILE_OBJECT_FILE          SRCSINK_UNKNOWN          
2881            MemoryObject              FILE_OBJECT_DIR          
2882            MemoryObject              FILE_OBJECT_DIR          
2883            MemoryObject              FILE_OBJECT_DIR          
2884            MemoryObject              FILE_OBJECT_DIR          
2885            MemoryObject              FILE_OBJECT_DIR          
2886            MemoryObject              FILE_OBJECT_DIR          
2887            MemoryObject              FILE_OBJECT_DIR          
2888            MemoryObject              FILE_OBJECT_DIR          
2889            MemoryObject              FILE_OBJECT_DIR          
2890            MemoryObject              FILE_OBJECT_DIR          
2891            MemoryObject              FILE_OBJECT_DIR          
2892            SUBJECT_PROCESS           MemoryObject             
2895            MemoryObject              FILE_OBJECT_DIR          
2896            MemoryObject              FILE_OBJECT_DIR          
2897            MemoryObject              FILE_OBJECT_DIR          
2898            MemoryObject              FILE_OBJECT_DIR          
2899            MemoryObject              FILE_OBJECT_DIR          
2900            MemoryObject              FILE_OBJECT_DIR          
2901            MemoryObject              FILE_OBJECT_DIR          
2902            MemoryObject              FILE_OBJECT_DIR          
2903            MemoryObject              FILE_OBJECT_DIR          
2904            MemoryObject              FILE_OBJECT_DIR          
2905            MemoryObject              FILE_OBJECT_DIR          
2906            SUBJECT_PROCESS           MemoryObject             
2909            MemoryObject              FILE_OBJECT_DIR          
2910            MemoryObject              FILE_OBJECT_DIR          
2911            MemoryObject              FILE_OBJECT_DIR          
2912            MemoryObject              FILE_OBJECT_DIR          
2913            MemoryObject              FILE_OBJECT_DIR          
2914            MemoryObject              FILE_OBJECT_DIR          
2915            MemoryObject              FILE_OBJECT_DIR          
2916            MemoryObject              FILE_OBJECT_DIR          
2917            MemoryObject              FILE_OBJECT_DIR          
2918            MemoryObject              FILE_OBJECT_DIR          
2919            MemoryObject              FILE_OBJECT_DIR          
2920            SUBJECT_PROCESS           FILE_OBJECT_DIR          
2922            FILE_OBJECT_FILE          SUBJECT_PROCESS          
2933            SUBJECT_PROCESS           FILE_OBJECT_DIR          
2934            UnnamedPipeObject         SUBJECT_PROCESS          
